Treatment,1,2,3,4,5,6,7,8,9,10,11,12
Proj SWD - 1050 mm,48,48,44,47,63,46,42,36,40,57,60,59
Proj SWD - RZ,6,6,6,6,6,6,6,6,6,6,6,6
